deaf,spot,blueeye,headspot,gender,fhs
0,1,0,0,0,2.27031376
0,2,0,0,0,2.27031376
1,1,0,0,0,1.27031376
0,2,0,0,0,2.27031376
1,2,0,0,0,1.27031376
1,2,0,0,0,1.27031376
0,2,0,0,0,2.27031376
0,2,0,0,0,2.27031376
0,3,0,0,1,-0.86484312
0,2,0,0,1,-0.86484312
0,2,0,0,1,-0.86484312
0,1,0,0,1,-0.86484312
0,2,0,0,0,-0.86484312
0,3,0,0,1,1.09734513
1,2,0,0,1,0.09734513
0,2,0,0,1,1.09734513
0,2,0,0,1,1.09734513
0,2,0,1,1,1.09734513
0,2,0,0,1,1.09734513
0,1,0,0,1,1.09734513
0,2,0,0,0,1.09734513
1,2,0,0,0,0.09734513
1,1,0,1,0,0.09734513
0,3,0,0,0,1.09734513
0,2,0,0,1,-0.86484312
0,2,0,0,1,-0.86484312
0,2,0,0,1,-0.86484312
0,2,0,0,0,-0.86484312
0,2,0,1,0,-0.86484312
0,2,0,0,1,0.78921963
0,1,0,0,1,0.78921963
0,2,0,1,1,0.78921963
0,3,0,0,0,0.78921963
1,1,0,0,0,-0.21078037
0,3,0,0,0,0.78921963
1,2,0,0,0,-0.21078037
0,2,0,1,1,-2.24859212
0,3,0,0,1,-2.24859212
0,2,0,0,1,-2.24859212
0,1,0,0,1,-2.24859212
0,2,0,0,1,-2.24859212
0,2,0,0,1,-2.24859212
0,1,0,0,1,-2.24859212
0,2,0,0,1,-2.24859212
0,1,0,0,1,-2.24859212
0,2,0,0,0,-2.24859212
0,2,0,0,0,-2.24859212
0,2,0,0,0,-2.24859212
0,2,0,0,0,-2.24859212
0,2,0,0,1,1.44328238
0,2,0,0,1,1.44328238
1,2,0,0,1,0.44328238
0,1,0,0,1,1.44328238
0,2,0,0,1,1.44328238
1,1,0,0,0,0.44328238
0,2,0,0,0,1.44328238
1,2,1,0,0,0.44328238
0,2,0,0,0,1.44328238
0,3,0,0,1,-1.55671762
0,2,0,0,1,-1.55671762
0,2,0,0,1,-1.55671762
0,2,0,0,1,-1.55671762
0,3,0,0,1,-1.55671762
